timestamp,target_id,range,velocity,signal_strength,packet_size,latency,packet_loss,throughput,packet_rate,network_health_score,signal_latency_ratio,status
1780770789.0130947,68,142,1713,65.85,566,97.51,3.87,3470.77,47.15,52.23,0.67,SUSPICIOUS
1780770789.0637963,98,458,217,78.6,776,97.44,1.83,459.15,9.01,67.03,0.8,NORMAL
1780770789.1163394,16,380,230,91.86,1606,73.52,9.87,1114.41,7.37,74.64,1.23,NORMAL
1780770789.1671734,92,190,1595,62.69,2864,67.58,5.66,1245.18,25.15,50.27,0.91,SUSPICIOUS
1780770789.218051,28,114,562,40.73,1861,64.17,21.44,1479.46,31.54,12.87,0.62,JAMMING
1780770789.2687347,78,421,221,86.99,298,42.56,7.22,916.82,14.23,75.51,2.0,NORMAL
1780770789.3197749,98,480,1136,40.41,929,34.62,6.22,1307.78,38.73,30.73,1.13,SUSPICIOUS
1780770789.3702116,83,253,425,68.81,632,159.29,21.9,2477.9,28.82,30.98,0.43,JAMMING
1780770789.4212053,93,146,1153,86.54,1521,18.78,13.54,636.64,13.42,71.12,4.38,NORMAL
1780770789.4722104,24,413,400,97.63,404,99.5,5.15,1811.57,15.05,82.53,0.97,NORMAL
1780770789.5230262,15,429,957,51.21,805,54.99,12.71,1928.7,39.41,33.0,0.91,NORMAL
1780770789.5740921,36,202,556,98.41,1782,32.24,8.96,1218.39,22.55,86.23,2.96,NORMAL
1780770789.624816,84,336,763,86.11,1253,69.77,3.82,526.88,8.36,75.31,1.22,NORMAL
1780770789.675747,13,205,1027,89.99,938,53.38,5.74,2912.46,33.75,78.91,1.65,SUSPICIOUS
1780770789.72642,92,123,545,89.91,1567,39.52,10.34,2294.44,10.72,75.62,2.22,NORMAL
1780770789.7775214,69,332,875,70.34,1699,70.88,7.61,1646.89,27.44,55.64,0.98,NORMAL
1780770789.8284252,1,283,1061,87.48,1803,95.59,2.31,555.57,32.56,75.61,0.91,NORMAL
1780770789.879306,31,400,779,69.26,1424,62.47,0.42,2099.0,15.87,62.59,1.09,NORMAL
1780770789.9298997,34,460,443,98.95,512,89.23,8.57,1149.96,6.18,81.46,1.1,NORMAL
1780770789.9804647,96,297,1531,59.14,2457,111.95,0.23,3695.37,56.24,47.72,0.52,SUSPICIOUS
1780770790.0310748,97,499,1117,85.71,1089,28.76,1.26,582.91,5.26,81.57,2.88,NORMAL
1780770790.0815852,13,223,773,51.58,928,16.86,6.1,2335.46,9.03,43.79,2.89,NORMAL
1780770790.131973,41,289,201,84.55,1411,15.95,4.92,591.42,7.5,78.03,4.99,NORMAL
1780770790.1824667,58,215,534,80.31,1461,63.07,12.69,1622.96,19.07,61.31,1.25,SUSPICIOUS
1780770790.2332938,66,244,313,89.03,667,67.41,14.89,575.97,35.6,67.4,1.3,NORMAL
1780770790.2840836,13,263,1714,82.52,1493,113.08,16.08,1097.88,10.37,55.13,0.72,SUSPICIOUS
1780770790.3347507,83,223,681,86.09,988,62.96,18.38,3292.12,76.55,61.41,1.35,SUSPICIOUS
1780770790.3854806,30,494,640,59.91,1554,90.41,16.76,1165.85,12.38,34.11,0.66,SUSPICIOUS
1780770790.436852,88,190,756,62.41,307,92.24,5.25,703.57,30.86,47.94,0.67,NORMAL
1780770790.4877665,36,197,728,90.54,997,18.0,13.68,873.02,14.05,75.06,4.77,NORMAL
1780770790.5382876,69,108,542,61.68,1876,56.98,7.27,1645.75,11.46,48.71,1.06,NORMAL
1780770790.5887692,31,235,743,74.46,891,29.13,2.57,515.17,23.59,68.98,2.47,NORMAL
1780770790.6394181,80,239,941,72.97,412,98.66,1.11,491.49,34.41,61.99,0.73,NORMAL
1780770790.690278,17,142,1046,80.02,768,69.39,22.31,1736.49,6.52,50.77,1.14,JAMMING
1780770790.7412298,49,467,675,49.03,946,116.76,15.08,1085.68,33.96,22.27,0.42,JAMMING
1780770790.7928648,54,198,685,62.53,1700,53.41,10.49,1061.0,20.15,46.7,1.15,NORMAL
1780770790.843865,43,426,770,51.59,2438,90.73,11.66,1696.92,18.13,30.86,0.56,SUSPICIOUS
1780770790.8943496,19,281,1085,40.59,1627,141.39,1.99,1488.33,46.64,24.46,0.29,SUSPICIOUS
1780770790.9450107,24,262,1147,54.19,1902,60.87,23.2,2082.95,9.6,24.9,0.88,JAMMING
1780770790.9964821,76,375,1013,75.89,1924,125.79,19.08,1466.56,30.18,44.23,0.6,JAMMING
1780770791.0471716,79,426,1129,49.54,922,179.39,10.55,618.44,21.33,21.05,0.27,JAMMING
1780770791.097974,37,182,556,68.2,1359,15.41,14.88,2205.03,32.91,51.78,4.16,NORMAL
1780770791.148772,32,227,382,50.16,954,42.62,6.2,2132.17,31.48,39.7,1.15,NORMAL
1780770791.1998198,13,474,1056,46.91,2286,85.75,12.04,961.41,61.98,26.29,0.54,SUSPICIOUS
1780770791.2508278,33,412,786,98.66,855,25.0,14.02,1763.54,25.54,82.14,3.79,NORMAL
