[2026-06-07 00:54:23] JAMMING | Target=72 | Signal=43.75 | Loss=9.38 | Latency=191.27
[2026-06-07 00:54:23] JAMMING | Target=1 | Signal=65.76 | Loss=18.19 | Latency=180.22
[2026-06-07 00:54:24] JAMMING | Target=27 | Signal=40.81 | Loss=19.68 | Latency=62.83
[2026-06-07 00:54:24] JAMMING | Target=12 | Signal=64.74 | Loss=10.5 | Latency=105.01
[2026-06-07 00:54:24] JAMMING | Target=69 | Signal=49.29 | Loss=20.1 | Latency=126.92
[2026-06-07 00:54:24] SUSPICIOUS | Target=81 | Signal=54.76 | Loss=9.54 | Latency=133.06
[2026-06-07 00:54:25] JAMMING | Target=39 | Signal=32.16 | Loss=22.8 | Latency=87.23
[2026-06-07 00:54:25] JAMMING | Target=83 | Signal=47.93 | Loss=14.81 | Latency=30.44
[2026-06-07 00:54:26] SUSPICIOUS | Target=81 | Signal=67.5 | Loss=6.52 | Latency=52.16
[2026-06-07 00:54:26] SUSPICIOUS | Target=69 | Signal=61.0 | Loss=1.05 | Latency=28.44
[2026-06-07 00:54:26] SUSPICIOUS | Target=95 | Signal=68.13 | Loss=3.24 | Latency=78.97
[2026-06-07 00:54:26] JAMMING | Target=44 | Signal=85.08 | Loss=5.87 | Latency=139.63
[2026-06-07 00:54:26] JAMMING | Target=66 | Signal=38.77 | Loss=10.16 | Latency=115.92
[2026-06-07 00:54:27] JAMMING | Target=18 | Signal=45.97 | Loss=21.57 | Latency=171.98
[2026-06-07 00:54:27] JAMMING | Target=39 | Signal=47.59 | Loss=11.16 | Latency=86.68
[2026-06-07 00:54:27] JAMMING | Target=83 | Signal=35.04 | Loss=21.23 | Latency=155.87
[2026-06-07 00:54:27] SUSPICIOUS | Target=60 | Signal=69.01 | Loss=3.11 | Latency=62.68
[2026-06-07 00:54:28] SUSPICIOUS | Target=93 | Signal=90.77 | Loss=1.39 | Latency=126.07
[2026-06-07 00:54:28] SUSPICIOUS | Target=43 | Signal=92.69 | Loss=10.37 | Latency=34.18
[2026-06-07 00:54:28] SUSPICIOUS | Target=25 | Signal=46.37 | Loss=6.24 | Latency=71.5
[2026-06-07 00:54:29] JAMMING | Target=61 | Signal=78.91 | Loss=16.54 | Latency=195.27
[2026-06-07 00:54:30] SUSPICIOUS | Target=17 | Signal=65.01 | Loss=9.19 | Latency=25.15
[2026-06-07 00:54:30] SUSPICIOUS | Target=16 | Signal=85.58 | Loss=8.61 | Latency=58.29
[2026-06-07 00:54:30] SUSPICIOUS | Target=1 | Signal=51.29 | Loss=8.35 | Latency=143.1
[2026-06-07 00:54:31] JAMMING | Target=37 | Signal=62.37 | Loss=9.04 | Latency=103.71
[2026-06-07 00:54:32] JAMMING | Target=90 | Signal=43.31 | Loss=18.0 | Latency=23.86
[2026-06-07 00:54:33] SUSPICIOUS | Target=83 | Signal=88.84 | Loss=17.69 | Latency=127.74
[2026-06-07 00:54:33] JAMMING | Target=14 | Signal=50.13 | Loss=17.84 | Latency=190.67
[2026-06-07 00:54:33] SUSPICIOUS | Target=16 | Signal=49.57 | Loss=8.07 | Latency=132.06
[2026-06-07 00:54:33] SUSPICIOUS | Target=89 | Signal=66.71 | Loss=18.06 | Latency=86.17
[2026-06-07 00:54:33] SUSPICIOUS | Target=39 | Signal=46.22 | Loss=6.59 | Latency=21.32
[2026-06-07 00:54:34] SUSPICIOUS | Target=28 | Signal=60.46 | Loss=16.61 | Latency=59.41
[2026-06-07 00:54:34] SUSPICIOUS | Target=58 | Signal=49.75 | Loss=4.79 | Latency=40.35
[2026-06-07 00:54:35] SUSPICIOUS | Target=37 | Signal=68.62 | Loss=10.36 | Latency=88.71
